countryName,countryCode,indicatorName,indicatorCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,,,,,99.72141999006271,,,,,,,,,,
Aruba,ABW,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,16.82253074645996,15.11110973358154,14.86287975311279,,,,,,,,,,,,
Aruba,ABW,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,2T3,2T3,2T3,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
Aruba,ABW,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,14.33983993530273,14.58102989196777,15.74623966217041,,,,,,,,,,,,
Aruba,ABW,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,,,,,0.2785800099372864,,,,,,,,,,
Aruba,ABW,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
Angola,AGO,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,88.17469676437629,87.64511013031006,,,,,,,,,,,,63.23784901224894,
Angola,AGO,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,52.01793900499433,,,,,,,,,,,,,64.22861215965233,
Angola,AGO,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,80.88013076782227,77.2905101776123,,,,,,,,,,,,63.06647805625196,
Angola,AGO,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,95.46615982055664,97.98842000961304,,,,,,,,,,,,63.40795160673151,
Angola,AGO,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,44.89458084106445,,,,,,,,,,,,,62.28026817132974,
Angola,AGO,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,59.20360946655273,,,,,,,,,,,,,66.17056546413693,
Angola,AGO,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,,89.58995883013421,,,,,,,,,,57.78193656980864,,68.01332760646294,
Angola,AGO,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,2T3,missing,2T3,missing
Angola,AGO,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,,,,,,,,,,,,30.3513357062801,,33.90974157670919,
Angola,AGO,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,11.82530323562371,12.35488986968994,,,,,,,,,,,,36.76215098775106,
Angola,AGO,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,47.98206099500567,,,,,,,,,,,,,35.77138784034767,
Angola,AGO,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,2T3,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,2T3,missing
Anguilla,AIA,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,96.50928997993469,95.83534002304077,,,,,,,,,,,,,
Anguilla,AIA,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,,,,,,,,,,,,,86.31212043762207,,
Anguilla,AIA,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,,,,,,,,,,,,,83.93782043457031,,
Anguilla,AIA,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,,,,,,,,,,,,,88.73239040374756,,
Anguilla,AIA,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,27.4576301574707,20.83543968200684,,,27.33928571428572,25.76666666666667,,,,,,,,,
Anguilla,AIA,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,2T3,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
Anguilla,AIA,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,,14.91549015045166,,,,,,,,,,,,,
Anguilla,AIA,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,3.490710020065308,4.164659976959229,,,,,,,,,,,,,
Anguilla,AIA,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,,,,,,,,,,,,,13.68787956237793,,
Anguilla,AIA,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,2T3,missing,missing
Albania,ALB,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,93.78254224939135,95.49798638750853,97.16645589630097,96.84193341020173,99.61638001367773,99.8242225683967,99.88387210264588,99.31299957870642,98.63253827681703,97.8051455707389,96.03234004974365,93.33476263399693,91.52203271144901,89.13467669940059,99.51238000392914
Albania,ALB,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,,,,92.49490935585749,94.6894974666927,94.6970100402832,93.40501022338867,92.51141023635864,93.55187645085782,93.33652979866135,90.85937407185936,92.5921684865765,92.40357734657286,91.99533899058903,99.1860899925232
Albania,ALB,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,94.08188158176519,95.65066832883164,97.38644406511511,96.5858523037991,,,,,,,93.89657020568848,91.07240471102719,88.91673067479255,86.17157326649104,
Albania,ALB,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,93.50938458531944,95.35924913693901,96.9677310165858,97.07436713480686,,,,,,,98.09270000457764,95.53517484714469,94.09142275261713,92.08149975834965,
Albania,ALB,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,,,,91.22453022003174,93.13657999038696,93.83383989334106,92.95698976516724,91.94118022918701,92.69897985458374,92.17353979205748,89.23890904074462,91.14888000488281,90.19470977783203,89.97921749344899,99.45618999004364
Albania,ALB,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,,,,93.70039987564087,96.16336989402771,95.50805997848511,93.82352018356323,93.04621982574463,94.35882997512817,94.43812822346874,92.4038982133189,93.96481990814209,94.51700019836426,93.94958572004134,98.93374001979828
Albania,ALB,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,,,,,,,,,,,,26.35544472152951,,,
